timestamp,open,high,low,close,volume
2025-06-02 16:00:00+02:00,5886.75,5892.5,5870.5,5889.25,78197
2025-06-02 16:15:00+02:00,5889.25,5906.75,5887.25,5906.5,50925
2025-06-02 16:30:00+02:00,5906.25,5916.0,5901.5,5906.25,58303
2025-06-02 16:45:00+02:00,5906.25,5915.5,5905.25,5914.0,28854
2025-06-02 17:00:00+02:00,5914.0,5916.75,5905.25,5913.5,44643
2025-06-02 17:15:00+02:00,5913.25,5914.25,5903.5,5905.75,23325
2025-06-02 17:30:00+02:00,5906.0,5911.75,5901.5,5911.0,25623
2025-06-03 16:00:00+02:00,5944.75,5953.5,5938.25,5949.75,50314
2025-06-03 16:15:00+02:00,5949.75,5959.25,5948.75,5959.0,41948
2025-06-03 16:30:00+02:00,5959.0,5959.0,5951.75,5957.25,32095
2025-06-03 16:45:00+02:00,5957.25,5964.5,5956.75,5963.75,33965
2025-06-03 17:00:00+02:00,5964.0,5968.75,5963.75,5967.0,37953
2025-06-03 17:15:00+02:00,5967.0,5972.0,5965.0,5970.25,33925
2025-06-03 17:30:00+02:00,5969.75,5975.0,5968.75,5973.5,28419
2025-06-04 16:00:00+02:00,5994.75,5994.75,5974.25,5987.5,88067
2025-06-04 16:15:00+02:00,5987.25,5996.5,5985.75,5995.25,51368
2025-06-04 16:30:00+02:00,5995.0,5997.25,5987.25,5989.25,41310
2025-06-04 16:45:00+02:00,5989.25,5995.0,5986.25,5994.75,33011
2025-06-04 17:00:00+02:00,5994.5,5998.25,5992.75,5994.75,26517
2025-06-04 17:15:00+02:00,5994.75,5996.5,5989.25,5989.25,30541
2025-06-04 17:30:00+02:00,5989.25,5993.5,5983.25,5985.25,37117
2025-06-05 16:00:00+02:00,5961.5,5971.25,5960.0,5965.25,42417
2025-06-05 16:15:00+02:00,5965.0,5980.75,5962.25,5980.0,38019
2025-06-05 16:30:00+02:00,5980.25,5993.75,5958.0,5984.25,94721
2025-06-05 16:45:00+02:00,5984.0,5994.75,5978.0,5991.5,49413
2025-06-05 17:00:00+02:00,5991.5,5995.5,5989.25,5994.0,29156
2025-06-05 17:15:00+02:00,5994.0,6006.25,5993.5,6005.25,39156
2025-06-05 17:30:00+02:00,6005.0,6006.5,6001.75,6004.75,25514
