timestamp,direction,entry,exit,pnl_pts,pnl_usd,fees,exit_reason
2025-07-08 16:05:00+02:00,-1,6285.5,6267.214285714285,18.285714285714675,457.1428571428669,10.0,TP
2025-07-08 16:20:00+02:00,1,6270.5,6264.660714285715,-5.8392857142853245,-145.9821428571331,10.0,SL
2025-07-08 16:30:00+02:00,-1,6264.75,6273.107142857143,-8.357142857143117,-208.92857142857792,10.0,SL
2025-07-08 16:50:00+02:00,-1,6279.25,6273.928571428572,5.3214285714284415,133.03571428571104,10.0,SL
2025-07-08 16:55:00+02:00,1,6266.5,6263.964285714285,-2.5357142857146755,-63.39285714286689,10.0,SL
2025-07-08 17:20:00+02:00,1,6271.75,6268.0,-3.75,-93.75,10.0,SL
2025-07-09 16:00:00+02:00,1,6267.0,6295.071428571428,28.07142857142844,701.785714285711,10.0,TP
2025-07-09 16:25:00+02:00,1,6308.0,6300.732142857143,-7.267857142856883,-181.69642857142208,10.0,SL
2025-07-09 16:30:00+02:00,-1,6301.0,6301.071428571428,-0.0714285714284415,-1.7857142857110375,10.0,SL
2025-07-09 17:25:00+02:00,-1,6292.75,6286.785714285715,5.9642857142853245,149.1071428571331,10.0,SL
2025-07-10 16:00:00+02:00,-1,6288.0,6295.303571428572,-7.3035714285715585,-182.58928571428896,10.0,SL
2025-07-10 16:25:00+02:00,1,6297.5,6300.803571428572,3.3035714285715585,82.58928571428896,10.0,SL
2025-07-10 16:40:00+02:00,-1,6303.0,6312.035714285715,-9.035714285714675,-225.8928571428669,10.0,SL
2025-07-11 16:00:00+02:00,1,6314.5,6317.785714285715,3.2857142857146755,82.14285714286689,10.0,SL
2025-07-11 16:10:00+02:00,-1,6295.75,6300.232142857143,-4.482142857143117,-112.05357142857792,10.0,SL
2025-07-11 16:45:00+02:00,1,6299.25,6300.303571428572,1.0535714285715585,26.339285714288962,10.0,SL
2025-07-11 17:10:00+02:00,1,6301.5,6296.017857142857,-5.482142857143117,-137.05357142857792,10.0,SL
2025-07-11 17:20:00+02:00,-1,6291.5,6300.678571428572,-9.178571428571558,-229.46428571428896,10.0,SL
